DATE, TIME, DIRECTION, SPEED, A_COUNT, R_COUNT
2023-10-26, 17:54:25, A,87.3,1, 
2023-10-26, 17:54:38, A,76.5,2, 
2023-10-26, 17:54:42, R,86, ,1
2023-10-26, 17:54:43, A,75.1,3, 
2023-10-26, 17:54:44, R,80.1, ,2
2023-10-26, 17:54:48, R,83.1, ,3
2023-10-26, 17:54:49, A,75.5,4, 
2023-10-26, 17:54:56, A,77.1,5, 
2023-10-26, 17:54:58, R,88.4, ,4
2023-10-26, 17:54:59, A,74.2,6, 
2023-10-26, 17:55:05, R,89.5, ,5
2023-10-26, 17:55:07, R,89.6, ,6
2023-10-26, 17:55:11, R,86.9, ,7
2023-10-26, 17:55:24, R,77.8, ,8
2023-10-26, 17:55:28, A,67.5,7, 
2023-10-26, 17:55:32, A,71.1,8, 
2023-10-26, 17:55:42, R,85.7, ,9
2023-10-26, 17:55:44, A,84.8,9, 
2023-10-26, 17:55:51, R,84, ,10
2023-10-26, 17:56:04, R,80.3, ,11
2023-10-26, 17:56:05, A,79.5,10, 
2023-10-26, 17:56:07, R,76.9, ,12
2023-10-26, 17:56:15, R,95.9, ,13
2023-10-26, 17:56:16, R,88.6, ,14
2023-10-26, 17:56:19, R,83.9, ,15
2023-10-26, 17:56:24, R,86.1, ,16
2023-10-26, 17:56:27, R,87.4, ,17
2023-10-26, 17:56:37, R,79.3, ,18
2023-10-26, 17:56:39, A,67.3,11, 
2023-10-26, 17:57:05, R,77.9, ,19
2023-10-26, 17:57:32, R,82.5, ,20
2023-10-26, 17:57:42, R,79, ,21
2023-10-26, 17:57:42, R,81.9, ,22
2023-10-26, 17:57:44, R,79.4, ,23
2023-10-26, 17:57:45, R,77.2, ,24
2023-10-26, 17:57:49, R,72.6, ,25
2023-10-26, 17:57:54, R,80.8, ,26
2023-10-26, 17:57:57, R,78.1, ,27
2023-10-26, 17:57:57, A,76.7,12, 
2023-10-26, 17:57:59, A,78.8,13, 
2023-10-26, 17:58:00, R,73.6, ,28
2023-10-26, 17:58:01, A,73.5,14, 
2023-10-26, 17:58:12, R,86.4, ,29
2023-10-26, 17:58:13, A,81.7,15, 
2023-10-26, 17:58:14, A,76.3,16, 
2023-10-26, 17:58:17, A,71.9,17, 
2023-10-26, 17:58:19, A,65.8,18, 
2023-10-26, 17:58:21, A,65.6,19, 
2023-10-26, 17:58:23, A,72.6,20, 
2023-10-26, 17:58:26, A,74.1,21, 
2023-10-26, 17:58:37, R,91.3, ,30
2023-10-26, 17:58:41, R,85.3, ,31
2023-10-26, 17:58:44, R,84.6, ,32
2023-10-26, 17:58:47, R,81.8, ,33
2023-10-26, 17:58:53, R,97.1, ,34
2023-10-26, 17:58:55, R,100.2, ,35
2023-10-26, 17:59:06, R,81.9, ,36
2023-10-26, 17:59:11, A,77.2,22, 
2023-10-26, 17:59:11, R,88.7, ,37
2023-10-26, 17:59:12, A,82.3,23, 
2023-10-26, 17:59:15, A,78.1,24, 
2023-10-26, 17:59:18, A,74.7,25, 
2023-10-26, 17:59:19, A,75.2,26, 
2023-10-26, 17:59:23, A,75.6,27, 
2023-10-26, 17:59:38, A,78.9,28, 
2023-10-26, 17:59:56, R,99.8, ,38
2023-10-26, 18:00:09, R,85.5, ,39
2023-10-26, 18:00:16, A,81.2,29, 
2023-10-26, 18:00:16, R,94.4, ,40
2023-10-26, 18:00:21, A,89.7,30, 
2023-10-26, 18:00:26, A,91.9,31, 
2023-10-26, 18:00:28, R,93.1, ,41
2023-10-26, 18:00:34, R,94.7, ,42
2023-10-26, 18:00:37, R,91.6, ,43
2023-10-26, 18:00:40, R,83.8, ,44
2023-10-26, 18:00:48, R,82.9, ,45
2023-10-26, 18:00:56, R,88.6, ,46
2023-10-26, 18:01:04, R,85, ,47
2023-10-26, 18:01:15, A,74.4,32, 
2023-10-26, 18:01:18, A,77.5,33, 
2023-10-26, 18:01:24, A,70.1,34, 
2023-10-26, 18:01:27, R,96, ,48
2023-10-26, 18:01:39, R,79.4, ,49
2023-10-26, 18:01:48, A,78.2,35, 
2023-10-26, 18:01:51, A,77.9,36, 
2023-10-26, 18:01:56, A,74,37, 
2023-10-26, 18:02:16, A,78.7,38, 
2023-10-26, 18:02:19, A,80.6,39, 
2023-10-26, 18:02:35, R,86.2, ,50
2023-10-26, 18:02:36, R,87.1, ,51
2023-10-26, 18:02:38, R,84.5, ,52
2023-10-26, 18:02:39, R,80.9, ,53
2023-10-26, 18:02:42, R,92.4, ,54
2023-10-26, 18:02:47, R,90.9, ,55
2023-10-26, 18:02:50, R,90.6, ,56
2023-10-26, 18:02:59, R,73.5, ,57
2023-10-26, 18:03:03, R,74.4, ,58
2023-10-26, 18:03:27, R,90.1, ,59
2023-10-26, 18:03:31, R,90.5, ,60
2023-10-26, 18:03:33, R,91.1, ,61
2023-10-26, 18:03:35, R,90.7, ,62
2023-10-26, 18:03:38, R,91.7, ,63
2023-10-26, 18:03:50, R,81.3, ,64
2023-10-26, 18:03:52, A,56.3,40, 
2023-10-26, 18:03:54, A,58.5,41, 
2023-10-26, 18:03:56, A,55,42, 
2023-10-26, 18:03:56, A,56.9,43, 
2023-10-26, 18:03:57, A,60.1,44, 
2023-10-26, 18:03:59, A,55.4,45, 
2023-10-26, 18:04:00, A,64.1,46, 
2023-10-26, 18:04:00, A,56,47, 
2023-10-26, 18:04:02, A,58.8,48, 
2023-10-26, 18:04:03, A,62.5,49, 
2023-10-26, 18:04:07, A,59.3,50, 
2023-10-26, 18:04:08, R,89.1, ,65
2023-10-26, 18:04:10, R,86.3, ,66
2023-10-26, 18:04:12, R,83.8, ,67
2023-10-26, 18:04:13, R,82.8, ,68
2023-10-26, 18:04:14, R,89.5, ,69
2023-10-26, 18:04:17, R,84.6, ,70
2023-10-26, 18:04:34, A,83.4,51, 
2023-10-26, 18:04:49, R,98.2, ,71
2023-10-26, 18:04:50, R,98.2, ,72
2023-10-26, 18:04:53, A,93.9,52, 
2023-10-26, 18:04:58, R,97.2, ,73
2023-10-26, 18:05:00, A,73.1,53, 
2023-10-26, 18:05:01, R,97.4, ,74
2023-10-26, 18:05:05, R,82.6, ,75
2023-10-26, 18:05:08, R,94.1, ,76
2023-10-26, 18:05:19, R,96.4, ,77
2023-10-26, 18:05:21, A,85.1,54, 
2023-10-26, 18:05:45, R,86.4, ,78
